,count,min,max,mean,median,std,skewness
Units Sold,760.0,5117.0,11858.0,8882.731578947369,9351.5,1558.6559525591579,-0.9220232015283454
Demand,760.0,5859.0,14093.0,10431.715789473685,10979.5,1896.4156137269906,-0.9099783090487421
Competitor Pricing,760.0,59.47,76.29,69.45406578947367,70.66,4.076308383230068,-0.9689604399073409
Epidemic,760.0,0.0,1.0,0.2,0.0,0.4002634178751096,1.5029680120409363
Weather_Cloudy,760.0,0.0,100.0,32.05263157894737,40.0,24.746352115004587,0.4664706760632197
Weather_Rainy,760.0,0.0,100.0,23.026315789473685,20.0,25.37309151384542,0.8202228954596616
Weather_Snowy,760.0,0.0,100.0,14.68421052631579,0.0,22.61332784474357,1.4512428909889472
Weather_Sunny,760.0,0.0,100.0,30.236842105263158,20.0,24.18520351508222,0.5504321223553749
