Variable,Pearson r,Pearson p-value,Pearson significant (p < 0.05),Spearman r,Spearman p-value,Spearman significant (p < 0.05)
Demand,0.9813331003009834,0.0,True,0.9558982799271257,0.0,True
Competitor Pricing,0.9052277073718756,5.850526684800771e-284,True,0.7588723488310378,2.4934486943478412e-143,True
Epidemic,-0.8977605610129638,4.0509487481538357e-272,True,-0.6913744489751132,4.1608313141503727e-109,True
Weather_Sunny,0.17499729020793428,1.2105390461272954e-06,True,0.28942197983794393,3.935336394368189e-16,True
Weather_Snowy,-0.11990215640023741,0.0009263521291266523,True,-0.24074314633818739,1.7552112719312682e-11,True
Weather_Rainy,-0.10213997966188111,0.004824190445079891,True,-0.11329518785142996,0.0017583902438586428,True
Weather_Cloudy,0.04326491193170802,0.23352564730053288,False,0.06220298099235933,0.08659211256731235,False
